"identifier"	"chemical_formula"	"description"	"mass_to_charge"	"fragmentation"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"modifications"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"Ex1-Col0-48h-Ag-1"	"Ex1-Col0-48h-Ag-2"	"Ex1-Col0-48h-Ag-3"	"Ex1-Col0-48h-Ag-4"	"Ex1-cyp79-48h-Ag-1"	"Ex1-cyp79-48h-Ag-2"	"Ex1-cyp79-48h-Ag-3"	"Ex1-cyp79-48h-Ag-4"	"Ex2-Col0-48h-Ag-1"	"Ex2-Col0-48h-Ag-2"	"Ex2-Col0-48h-Ag-3"	"Ex2-Col0-48h-Ag-4"	"Ex2-cyp79-48h-Ag-1"	"Ex2-cyp79-48h-Ag-2"	"Ex2-cyp79-48h-Ag-3"	"Ex2-cyp79-48h-Ag-4"
""	""	""	"193.1"	""	""	"503.8"	""	""	""	""	""	""	""	""	""	""	""	""	" 12793.0"	" 11446.8"	" 11993.8"	" 11519.7"	" 28228.9"	" 26874.7"	" 26000.2"	" 27422.6"	" 12333.0"	"  13306.8"	"  12440.8"	" 12003.4"	" 11187.5"	" 10370.4"	" 11910.4"	" 11631.8"
""	""	""	"193.1"	""	""	"472.6"	""	""	""	""	""	""	""	""	""	""	""	""	"   436.7"	"   720.1"	"  1954.6"	"   620.2"	"   669.7"	"   559.1"	"   175.8"	"   593.9"	"  8571.4"	"   8314.8"	"   9844.0"	"  8206.5"	"  6969.3"	"  7072.8"	"  7902.2"	"  7120.8"
""	""	""	"199.6"	""	""	"498.1"	""	""	""	""	""	""	""	""	""	""	""	""	"  3013.1"	"  3606.0"	"  3749.9"	"  3267.1"	"  7231.7"	"  4931.0"	"  4767.2"	"  5057.2"	"  2907.3"	"   2896.5"	"   2406.0"	"  2836.5"	"  6649.6"	"  6485.9"	"  7675.4"	"  6515.7"
""	""	""	"202.1"	""	""	"490.3"	""	""	""	""	""	""	""	""	""	""	""	""	" 32121.8"	" 35912.7"	" 36421.1"	" 35203.8"	" 21840.0"	" 20885.0"	" 22229.6"	" 21722.5"	" 37033.7"	"  31666.4"	"  27108.1"	" 38810.3"	" 11008.7"	" 10319.1"	" 12686.1"	" 11166.5"
""	""	""	"205.1"	""	""	"514.4"	""	""	""	""	""	""	""	""	""	""	""	""	"  6140.5"	"  6400.4"	"  6118.7"	"  6202.8"	"  6842.6"	"  5586.8"	"  7422.2"	"  6157.7"	"  8165.4"	"   7768.9"	"   8047.2"	"  8301.8"	"  9452.8"	"  9113.5"	"  9307.2"	"  9027.0"
""	""	""	"205.1"	""	" 2"	"498.2"	""	""	""	""	""	""	""	""	""	""	""	""	" 23200.2"	" 25429.5"	" 26496.9"	" 22229.7"	" 41872.8"	" 30904.1"	" 40309.1"	" 30909.1"	" 22522.8"	"  22315.7"	"  22434.5"	" 23209.3"	" 43731.1"	" 41581.8"	" 47905.8"	" 39508.3"
""	""	""	"205.1"	""	""	"479.4"	""	""	""	""	""	""	""	""	""	""	""	""	" 14855.2"	" 12295.7"	" 13547.5"	" 13452.5"	" 26246.9"	" 22980.9"	" 26390.3"	" 26217.7"	"  9898.8"	"  10806.2"	"   8149.4"	" 11043.6"	" 21741.0"	" 20855.5"	" 19526.8"	" 22404.5"
""	""	""	"205.6"	""	" 2"	"498.1"	""	""	""	""	""	""	""	""	""	""	""	""	"  4471.5"	"  4731.0"	"  4460.2"	"  4531.3"	"  8403.1"	"  5611.0"	"  8175.7"	"  5466.4"	"  4474.4"	"   3250.6"	"   3936.2"	"  3049.8"	"  8168.9"	"  6957.5"	"  9158.1"	"  7421.7"
""	""	""	"206.1"	""	""	"481.3"	""	""	""	""	""	""	""	""	""	""	""	""	"  7512.8"	"  6933.4"	"  7250.5"	"  6516.8"	"  9341.5"	"  8189.7"	" 10001.8"	"  3311.5"	"  6614.1"	"   7754.2"	"   7274.5"	"  6010.7"	"  6640.0"	"  3836.0"	"  7571.9"	"  6727.4"
""	""	""	"206.1"	""	""	"504.3"	""	""	""	""	""	""	""	""	""	""	""	""	"  3806.8"	"  4564.2"	"  4275.6"	"  4272.5"	"  8540.9"	"  7571.0"	"  7096.3"	"  6376.3"	"  3715.3"	"   4646.5"	"   4120.0"	"  3049.0"	"  3733.8"	"  4280.2"	"  3446.9"	"  5013.0"
""	""	""	"207.1"	""	" 1"	"514.1"	""	""	""	""	""	""	""	""	""	""	""	""	" 89330.5"	" 87435.8"	" 87185.9"	" 80486.4"	" 96353.1"	" 94200.8"	" 87939.6"	" 83102.3"	" 74260.0"	"  72890.8"	"  77394.5"	" 70331.0"	" 62738.7"	" 67187.1"	" 65480.0"	" 66120.3"
""	""	""	"207.1"	""	" 2"	"504.7"	""	""	""	""	""	""	""	""	""	""	""	""	" 12376.3"	"  9974.0"	"  9766.4"	"  5517.7"	" 22427.4"	" 16956.0"	" 18365.8"	" 17448.2"	"  9924.4"	"  12759.2"	"  13486.5"	" 10539.2"	" 10152.3"	" 13358.9"	" 13213.8"	"  9940.9"
""	""	""	"207.1"	""	""	"495.2"	""	""	""	""	""	""	""	""	""	""	""	""	"  7394.1"	"  9490.2"	"  9752.3"	"  8271.2"	"  8938.8"	" 10905.2"	"  5839.2"	"  8129.4"	"  7268.4"	"   6696.1"	"  11280.2"	"  5516.9"	" 19609.3"	" 12154.2"	" 10488.4"	" 13420.5"
""	""	""	"207.1"	""	""	"531.7"	""	""	""	""	""	""	""	""	""	""	""	""	" 13353.3"	" 11511.7"	" 11655.6"	" 11062.0"	" 13466.7"	" 10088.1"	" 12001.7"	" 10863.0"	" 10457.7"	"   3094.2"	"   9833.1"	"  8171.2"	"  4181.0"	"  3547.8"	"  3508.1"	"  7813.8"
""	""	""	"207.6"	""	""	"498.3"	""	""	""	""	""	""	""	""	""	""	""	""	"   859.0"	"  2967.3"	"  3140.5"	"  3064.2"	"  4026.2"	"  3800.2"	"  4113.3"	"  3982.6"	"  2508.6"	"   2324.4"	"   2296.7"	"  2792.4"	"  5593.8"	"  6377.5"	"  5958.7"	"  6031.2"
""	""	""	"207.6"	""	" 2"	"505.0"	""	""	""	""	""	""	""	""	""	""	""	""	"  3062.9"	"  2015.6"	"  2740.4"	"  1839.5"	"  5736.0"	"  3779.0"	"  5442.9"	"  5577.1"	"  2012.1"	"   2067.5"	"   2189.7"	"  1376.5"	"  2748.0"	"  1001.1"	"  2136.0"	"  1584.3"
""	""	""	"208.1"	""	" 1"	"514.6"	""	""	""	""	""	""	""	""	""	""	""	""	"  9531.6"	" 10217.8"	" 11161.0"	" 10430.3"	" 10522.8"	" 11999.0"	" 10799.4"	" 10906.2"	"  7128.0"	"   9378.3"	"  10461.6"	"  8119.6"	"  7859.4"	"  8254.0"	"  8715.7"	"  8939.0"
""	""	""	"208.6"	""	""	"498.1"	""	""	""	""	""	""	""	""	""	""	""	""	"  6078.4"	"  6428.1"	"  6058.7"	"  5735.7"	" 11792.8"	"  8496.5"	" 10512.5"	"  8582.8"	"  5079.5"	"   4813.0"	"   4112.7"	"  5561.9"	" 12051.0"	" 10479.2"	" 12262.9"	"  9937.8"
