"identifier"	"chemical_formula"	"description"	"mass_to_charge"	"fragmentation"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"modifications"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"Ex1-Col0-48h-Ag-1"	"Ex1-Col0-48h-Ag-2"	"Ex1-Col0-48h-Ag-3"	"Ex1-Col0-48h-Ag-4"	"Ex1-cyp79-48h-Ag-1"	"Ex1-cyp79-48h-Ag-2"	"Ex1-cyp79-48h-Ag-3"	"Ex1-cyp79-48h-Ag-4"	"Ex2-Col0-48h-Ag-1"	"Ex2-Col0-48h-Ag-2"	"Ex2-Col0-48h-Ag-3"	"Ex2-Col0-48h-Ag-4"	"Ex2-cyp79-48h-Ag-1"	"Ex2-cyp79-48h-Ag-2"	"Ex2-cyp79-48h-Ag-3"	"Ex2-cyp79-48h-Ag-4"
""	""	""	" 114.03737"	""	""	" 342.22830"	""	""	""	""	""	""	""	""	""	""	""	""	"  12651.9613"	"  12198.8960"	"  12293.2344"	"  13154.9160"	"  18542.0576"	"  26328.6906"	"  19326.4079"	"  24669.2663"	"  16740.6895"	"  12516.1491"	"  10046.8809"	"  14657.0677"	"   7751.6428"	"   8674.6363"	"   7745.2731"	"   7938.8151"
""	""	""	" 114.10278"	""	""	"  22.06302"	""	""	""	""	""	""	""	""	""	""	""	""	"  33013.5709"	"  36109.1250"	"  36044.8555"	"  34553.0565"	"  20400.2773"	"  20752.8811"	"  20246.8145"	"  21349.1488"	"  33752.7557"	"  33552.3436"	"  33457.7290"	"  34091.0744"	"  27679.4890"	"  25156.0318"	"  28006.5050"	"  24978.2313"
""	""	""	" 114.09161"	""	" 1"	" 163.21080"	""	""	""	""	""	""	""	""	""	""	""	""	"  12266.5219"	"  12113.8112"	"  11651.1885"	"  12625.2235"	"  12431.7998"	"  12851.7270"	"  11964.0725"	"  14079.8555"	" 607334.7718"	" 615510.9765"	" 656768.4151"	" 609962.0516"	" 638623.2227"	" 724423.6718"	" 665409.5813"	" 694999.9957"
""	""	""	" 114.98736"	""	""	"  22.05750"	""	""	""	""	""	""	""	""	""	""	""	""	"   8944.7498"	"   2632.0861"	"   2254.5566"	"   7401.4251"	"   2757.7815"	"   1591.9040"	"   2656.9602"	"   2605.9605"	"   2424.9582"	"   6044.8626"	"   2756.4346"	"   2900.7056"	"   8884.1695"	"   3185.4459"	"   3277.4019"	"   1848.1573"
""	""	""	" 115.09445"	""	" 1"	" 162.98580"	""	""	""	""	""	""	""	""	""	""	""	""	"    152.8845"	"    169.4284"	"      0.0000"	"      0.0000"	"      0.0000"	"      0.0000"	"    142.1085"	"    153.2213"	"  46701.0437"	"  46402.0985"	"  50749.8972"	"  45918.3016"	"  49306.5129"	"  52825.6195"	"  51358.7527"	"  52764.9038"
""	""	""	" 118.08630"	""	""	"  38.12550"	""	""	""	""	""	""	""	""	""	""	""	""	"  34493.2901"	"  32768.4381"	"  33354.5587"	"  58010.5883"	"  48961.4269"	"  56904.2683"	"  44607.7068"	"  50166.6013"	"  54469.5717"	"  31472.5380"	"  36730.2693"	"  53092.9989"	"  37299.7679"	"  58713.1825"	"  40930.5644"	"  36344.2445"
""	""	""	" 118.06516"	""	""	" 299.60100"	""	""	""	""	""	""	""	""	""	""	""	""	"   6644.4926"	"   7048.1230"	"   7370.3067"	"   7723.5860"	"      0.0000"	"      0.0000"	"      0.0000"	"      0.0000"	"   7769.2567"	"   8558.6789"	"   7797.7620"	"   7858.1178"	"      0.0000"	"      0.0000"	"      0.0000"	"      0.0000"
""	""	""	" 119.10669"	""	""	" 296.70210"	""	""	""	""	""	""	""	""	""	""	""	""	"  11174.3504"	"  10910.0647"	"  11382.5786"	"  11274.6628"	"  12435.1200"	"  10041.3153"	"  12083.4160"	"  10419.9295"	"  28992.9412"	"  31240.8259"	"  26965.1481"	"  28635.8121"	"  30779.8879"	"  30153.9845"	"  29223.3138"	"  31695.2849"
""	""	""	" 120.08093"	""	" 1"	"  73.97610"	""	""	""	""	""	""	""	""	""	""	""	""	" 347295.6630"	" 346375.8129"	" 325961.8770"	" 327836.5458"	" 959817.0939"	" 953874.5228"	" 915108.1183"	" 905763.0329"	" 269765.0402"	" 293475.2678"	" 276279.5339"	" 279785.5864"	" 662485.5980"	" 661428.8584"	" 684723.4799"	" 662105.9340"
""	""	""	" 121.08386"	""	" 1"	"  74.12310"	""	""	""	""	""	""	""	""	""	""	""	""	"  30395.1425"	"  29516.6592"	"  30073.1220"	"  30625.6219"	"  82713.0184"	"  81309.9502"	"  82535.8833"	"  79460.4823"	"  24947.4502"	"  26750.7222"	"  26061.3938"	"  26898.2167"	"  62818.8784"	"  62846.1563"	"  66803.0003"	"  63982.1705"
""	""	""	" 121.02859"	""	""	" 196.84590"	""	""	""	""	""	""	""	""	""	""	""	""	"  55976.6698"	"  50080.2073"	"  53810.9786"	"  52689.8283"	"  71392.5064"	"  67725.2074"	"  68800.0250"	"  67768.7175"	"  47274.8874"	"  46999.5184"	"  42691.7387"	"  44537.7894"	"  67356.6598"	"  67388.8224"	"  65439.5551"	"  64844.8228"
""	""	""	" 121.02839"	""	""	" 276.00120"	""	""	""	""	""	""	""	""	""	""	""	""	"   5543.0039"	"   4968.0953"	"   5334.5545"	"   5312.8688"	"   8621.9992"	"   7525.9010"	"   7542.3425"	"   8192.4039"	"   4675.8944"	"   4611.1288"	"   4314.1294"	"   4644.1352"	"   8336.5854"	"   9155.4668"	"   7492.1838"	"   9826.6068"
""	""	""	" 121.06834"	""	""	" 243.85620"	""	""	""	""	""	""	""	""	""	""	""	""	"      0.0000"	"   2206.0764"	"   1522.7880"	"   1841.4954"	"   3074.5913"	"   2884.1097"	"   2190.0167"	"   3499.5004"	"   1798.0026"	"   3640.8575"	"   2650.8960"	"   1939.0065"	"   3287.0460"	"   2819.0198"	"   3236.2983"	"   3501.4720"
""	""	""	" 121.06480"	""	""	" 396.01170"	""	""	""	""	""	""	""	""	""	""	""	""	"      0.0000"	"      0.0000"	"      0.0000"	"    164.3863"	"      0.0000"	"      0.0000"	"      0.0000"	"      0.0000"	"   5858.1670"	"   4883.9625"	"   5138.0938"	"   5156.2166"	"   4913.7351"	"   4904.5892"	"   5274.9144"	"   5186.8947"
""	""	""	" 121.06482"	""	""	" 322.61250"	""	""	""	""	""	""	""	""	""	""	""	""	"    325.5838"	"    362.3855"	"    961.0045"	"    891.8918"	"    683.4807"	"    823.5004"	"    650.1484"	"   1183.0027"	"   9845.8691"	"  10155.6396"	"   9541.8221"	"   9115.4917"	"   9259.5305"	"   9395.9548"	"  10370.8306"	"   9427.8599"
""	""	""	" 123.04439"	""	""	" 394.75050"	""	""	""	""	""	""	""	""	""	""	""	""	"   4429.6209"	"   3438.5080"	"   3752.7370"	"   3684.5287"	"   4024.6342"	"   2860.2600"	"   3417.0902"	"   4128.6170"	"   9336.0570"	"   9682.4002"	"  10569.4810"	"   9980.2650"	"  10319.9324"	"   9421.5574"	"  10001.7120"	"   9922.1844"
""	""	""	" 123.04440"	""	""	" 253.72680"	""	""	""	""	""	""	""	""	""	""	""	""	"      0.0000"	"    141.7829"	"    159.9856"	"    137.0912"	"      0.0000"	"    605.3142"	"    648.8851"	"    290.0135"	"   4210.0000"	"   5545.2622"	"   4530.7744"	"   4881.9945"	"   7043.0339"	"   7260.3976"	"   7096.8517"	"   7098.7336"
""	""	""	" 123.11661"	""	""	" 343.64580"	""	""	""	""	""	""	""	""	""	""	""	""	"      0.0000"	"    933.0552"	"   1386.0630"	"   1027.8433"	"    140.0880"	"   1375.0249"	"   1188.8712"	"    784.7700"	"    942.1434"	"   1248.0233"	"   1951.9547"	"   1302.9786"	"   1469.8867"	"   1575.6000"	"   1865.1333"	"   1924.9647"
""	""	""	" 124.03932"	""	""	"  55.40400"	""	""	""	""	""	""	""	""	""	""	""	""	"   5802.3559"	"   5047.6366"	"   4885.9057"	"   5250.3251"	"  12285.7904"	"  12415.0108"	"  13062.2596"	"  13228.4150"	"   6068.8172"	"   5803.9083"	"   5542.6847"	"   5398.9363"	"   9047.9862"	"   9308.4231"	"   8626.0043"	"   9290.1191"
""	""	""	" 125.98614"	""	""	"  21.29802"	""	""	""	""	""	""	""	""	""	""	""	""	"  34968.0197"	"  35525.2336"	"  32640.5040"	"  35251.7342"	"  32272.7730"	"  36331.4271"	"  35191.5239"	"  35361.8104"	"  37543.0283"	"  42342.1514"	"  39973.7319"	"  39200.9777"	"  41718.8770"	"  40722.8463"	"  38862.4866"	"  40396.9132"
""	""	""	" 128.01922"	""	""	"  21.38001"	""	""	""	""	""	""	""	""	""	""	""	""	" 113263.6290"	" 115239.5865"	" 102117.0803"	" 106878.8477"	" 120188.2457"	" 121165.3166"	" 117795.4111"	" 119729.4212"	" 122044.5789"	" 126044.5531"	" 128558.8428"	" 125135.2898"	" 122788.2904"	" 118948.8555"	" 116410.0842"	" 115858.5121"
""	""	""	" 129.02073"	""	""	"  21.38001"	""	""	""	""	""	""	""	""	""	""	""	""	"  17901.5554"	"  19030.7527"	"  16271.5171"	"  17760.4227"	"  20479.6991"	"  19024.2627"	"  20119.4973"	"  20047.0566"	"  20197.4660"	"  20966.9318"	"  21270.3304"	"  22439.5195"	"  20978.1887"	"  19503.8152"	"  19958.4450"	"  19817.8304"
""	""	""	" 129.12727"	""	""	" 378.68700"	""	""	""	""	""	""	""	""	""	""	""	""	"   2293.2111"	"   4123.9629"	"   3479.1250"	"   4194.1194"	"   5082.4458"	"   4544.7098"	"   4913.2512"	"   4848.5728"	"  22948.2783"	"  23183.2912"	"  23937.0496"	"  23933.9257"	"  24985.1662"	"  26734.8472"	"  25580.0697"	"  26759.5853"
""	""	""	" 129.05330"	""	""	"1085.76900"	""	""	""	""	""	""	""	""	""	""	""	""	"  22917.7426"	"  21220.3469"	"  21499.4830"	"  13198.0832"	"  20995.0714"	"  22184.6413"	"  21505.2969"	"  21038.6925"	"  12524.4415"	"  19887.7089"	"  20300.6909"	"  11189.5290"	"   9843.8189"	"  13830.9960"	"  19932.5428"	"  12073.1128"
""	""	""	" 129.13866"	""	""	"  20.42751"	""	""	""	""	""	""	""	""	""	""	""	""	"   5495.3767"	"   6485.9818"	"   5213.2499"	"   5494.2778"	"   4130.8779"	"   5006.4086"	"   4507.1578"	"   5234.4420"	"   4747.0875"	"   6745.9024"	"   6345.5591"	"   5926.0067"	"   5670.8697"	"   6181.2466"	"   5190.0763"	"   5496.8009"
""	""	""	" 130.01736"	""	""	"  21.13452"	""	""	""	""	""	""	""	""	""	""	""	""	"  15487.4013"	"  16823.8336"	"  13370.1077"	"  14400.6577"	"  17824.2350"	"  17880.2797"	"  16093.5484"	"  18077.1207"	"  17353.5490"	"  17376.0447"	"  16591.4432"	"  17070.2115"	"  17021.5974"	"  16190.9751"	"  16460.1336"	"  16514.3475"
""	""	""	" 130.08633"	""	" 1"	"  38.46249"	""	""	""	""	""	""	""	""	""	""	""	""	" 354375.9183"	" 326881.4956"	" 337336.7368"	" 340236.6676"	" 405169.1670"	" 416058.5752"	" 479647.0793"	" 406372.5523"	" 295016.1972"	" 299645.3420"	" 277585.5290"	" 271629.6954"	" 436039.7303"	" 425016.8008"	" 436835.3800"	" 413912.9999"
""	""	""	" 130.08570"	""	""	"  27.82998"	""	""	""	""	""	""	""	""	""	""	""	""	" 221104.0076"	" 198458.9589"	" 175039.3384"	"   2079.8817"	" 240836.0771"	" 277583.3618"	" 242601.4710"	" 250517.0268"	" 137549.1326"	" 151030.6710"	"   2146.9203"	" 161097.5829"	" 232117.3600"	" 235755.2211"	" 252265.8944"	" 248252.3628"
""	""	""	" 130.15867"	""	""	" 212.60820"	""	""	""	""	""	""	""	""	""	""	""	""	"   2284.3787"	"   1559.1419"	"   1982.2151"	"   2405.4969"	"   2000.7101"	"   2351.5997"	"   1889.0834"	"   2359.5397"	"   6534.1482"	"   7839.9387"	"   6657.9646"	"   7163.9004"	"   8393.7518"	"  10062.3697"	"   8896.4181"	"  10162.6032"
""	""	""	" 130.96550"	""	""	"  21.38202"	""	""	""	""	""	""	""	""	""	""	""	""	"   5311.6214"	"   5927.2562"	"   4371.5694"	"   5224.5346"	"   5945.6495"	"   5678.4009"	"   5326.1533"	"   5789.0796"	"   6155.9449"	"   7375.5311"	"   6550.9044"	"   7467.9696"	"   6566.8268"	"   6855.5705"	"   6624.1215"	"   6254.7330"
""	""	""	" 131.09101"	""	" 1"	"  38.55300"	""	""	""	""	""	""	""	""	""	""	""	""	"  14339.8663"	"  14822.1539"	"  13344.5473"	"  14428.0538"	"  18147.9922"	"  20342.4100"	"  19468.7600"	"  19282.9675"	"  11942.4809"	"  11810.7907"	"  12773.1480"	"  11355.8820"	"  19959.7514"	"  17527.5134"	"  19752.4385"	"  17171.5560"
