"identifier"	"chemical_formula"	"description"	"mass_to_charge"	"fragmentation"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"modifications"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"Ex1-Col0-48h-Ag-1"	"Ex1-Col0-48h-Ag-2"	"Ex1-Col0-48h-Ag-3"	"Ex1-Col0-48h-Ag-4"	"Ex1-cyp79-48h-Ag-1"	"Ex1-cyp79-48h-Ag-2"	"Ex1-cyp79-48h-Ag-3"	"Ex1-cyp79-48h-Ag-4"	"Ex2-Col0-48h-Ag-1"	"Ex2-Col0-48h-Ag-2"	"Ex2-Col0-48h-Ag-3"	"Ex2-Col0-48h-Ag-4"	"Ex2-cyp79-48h-Ag-1"	"Ex2-cyp79-48h-Ag-2"	"Ex2-cyp79-48h-Ag-3"	"Ex2-cyp79-48h-Ag-4"
""	""	""	" 112.0068"	""	""	" 21.39099"	""	""	""	""	""	""	""	""	""	""	""	""	"   3846.3729"	"   4769.2465"	"   3848.0564"	"   4508.6253"	"   4911.6193"	"   4693.4306"	"   5626.5196"	"   5741.5100"	"   5738.6327"	"   4872.2744"	"   5983.5293"	"   5889.2808"	"   5724.7596"	"   5822.5749"	"   5277.3152"	"   5272.6314"
""	""	""	" 112.0766"	""	""	" 29.55450"	""	""	""	""	""	""	""	""	""	""	""	""	"   3861.6352"	"   3012.3939"	"   3502.3037"	"   4066.1424"	"    834.7680"	"   1257.2351"	"   1308.5675"	"   1132.6092"	"   3884.7757"	"   3073.1805"	"   2659.4497"	"   3270.7147"	"    717.4763"	"    508.4710"	"    449.1381"	"    594.5862"
""	""	""	" 112.1121"	""	""	" 20.38200"	""	""	""	""	""	""	""	""	""	""	""	""	"   1302.4330"	"   2396.5570"	"   1724.9340"	"   2036.3151"	"   1246.2209"	"   1853.9928"	"   1667.0116"	"   1491.9000"	"   2253.6355"	"   2829.3327"	"   2163.2481"	"   2750.5449"	"   2531.7208"	"   3028.2106"	"   1492.6744"	"   3026.3821"
""	""	""	" 112.8959"	""	""	" 24.84099"	""	""	""	""	""	""	""	""	""	""	""	""	"  17916.6432"	"  18496.4373"	"  17049.6533"	"  18126.6298"	"  19715.4351"	"  20476.8610"	"  20445.6594"	"  20489.9624"	"  13803.0615"	"  14496.9199"	"  14233.4123"	"  14526.0668"	"  21010.2969"	"  18762.5101"	"  19023.8841"	"  17896.5788"
""	""	""	" 114.0374"	""	""	"342.22830"	""	""	""	""	""	""	""	""	""	""	""	""	"  12651.9613"	"  12198.8960"	"  12293.2344"	"  13154.9160"	"  18542.0576"	"  26328.6906"	"  19326.4079"	"  24669.2663"	"  16740.6895"	"  12516.1491"	"  10046.8809"	"  14657.0677"	"   7751.6428"	"   8674.6363"	"   7745.2731"	"   7938.8151"
""	""	""	" 114.1028"	""	""	" 22.05300"	""	""	""	""	""	""	""	""	""	""	""	""	"  35889.5785"	"  35668.5750"	"  36044.8555"	"  34553.0565"	"  20400.2773"	"  20752.8811"	"  20246.8145"	"  21349.1488"	"  33752.7557"	"  33552.3436"	"  33457.7290"	"  35960.7019"	"  27679.4890"	"  25156.0318"	"  28006.5050"	"  24978.2313"
""	""	""	" 114.0916"	""	""	"163.36020"	""	""	""	""	""	""	""	""	""	""	""	""	"  12266.5219"	"  12113.8112"	"  11651.1885"	"  12420.2184"	"  12431.7998"	"  12851.7270"	"  11995.5696"	"  13394.1811"	" 607334.7718"	" 615510.9765"	" 656768.4151"	" 609962.0516"	" 638623.2227"	" 724423.6718"	" 665409.5813"	" 694999.9957"
""	""	""	" 114.0970"	""	""	" 28.80198"	""	""	""	""	""	""	""	""	""	""	""	""	"  19022.6708"	"  22312.1360"	"  21790.4733"	"  20847.9130"	"  16439.4976"	"  14977.9665"	"  20134.3777"	"  17503.7571"	"  23545.4586"	"  24680.0708"	"  20629.1082"	"  22072.4783"	"  25613.6890"	"  21073.3084"	"  22503.6555"	"  25031.5664"
""	""	""	" 114.8933"	""	""	" 24.74901"	""	""	""	""	""	""	""	""	""	""	""	""	"   8944.7498"	"   8066.1261"	"   7673.9645"	"   7401.4251"	"   9632.5340"	"   9317.7647"	"   8528.9568"	"   8718.8111"	"   6032.6077"	"   6044.8626"	"   5725.0843"	"   6668.7684"	"   8884.1695"	"   8035.5709"	"   8868.2236"	"   8317.7107"
""	""	""	" 114.9884"	""	""	" 21.44898"	""	""	""	""	""	""	""	""	""	""	""	""	"   1704.8969"	"   1657.1467"	"   2254.5566"	"   2158.0734"	"   2757.7815"	"   1784.5593"	"   2656.9602"	"   2605.9605"	"   2424.9582"	"   2930.3985"	"   2756.4346"	"   2900.7056"	"   2246.8124"	"   3185.4459"	"   3277.4019"	"   1848.1573"
